Processes: 381 total, 2 running, 379 sleeping, 1166 threads 
2026/07/12 09:29:41
Load Avg: 0.81, 1.01, 1.80 
CPU usage: 6.97% user, 25.58% sys, 67.44% idle 
SharedLibs: 508M resident, 98M data, 40M linkedit.
MemRegions: 29481 total, 1446M resident, 230M private, 855M shared.
PhysMem: 6600M used (1361M wired), 1592M unused.
VM: 12T vsize, 3153M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 38691/43M in, 20842/2059K out.
Disks: 225736/3426M read, 120623/2067M written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP PPID STATE    BOOSTS    %CPU_ME %CPU_OTHRS UID FAULTS   COW  MSGSENT MSGRECV SYSBSD   SYSMACH CSW     PAGEINS IDLEW  POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
577   com.apple.dock.e 0.0  00:00.38 3     1   167    10M   568K  0B    577  1    sleeping *0[20]    0.00000 0.00000    501 11381    372  1486    611     22630    2363    2274    51      2      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
576   SafeEjectGPUServ 0.0  00:00.03 2     1   55     1128K 0B    0B    576  1    sleeping *0[2]     0.00000 0.00000    501 1790     164  441     193     777      552     147     4       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
575   SafeEjectGPUAgen 0.0  00:00.01 2     1   34     940K  0B    0B    575  1    sleeping *0[2]     0.00000 0.00000    501 1157     130  124     46      589      294     89      0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
574   commerce         0.0  00:00.09 2     1   39     1104K 0B    0B    574  1    sleeping *0[4]     0.00000 0.00000    501 3098     188  142     48      1058     353     259     2       1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
573   QuickLookSatelli 0.0  00:30.46 4     1   101    159M  92K   0B    573  1    sleeping *0[14]    0.00000 0.00000    501 126968   3784 1675    568     114281   4233    32549   619     61     0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
570   CarbonComponentS 0.0  00:00.15 2     1   40     1100K 0B    0B    570  1    sleeping *0[1]     0.00000 0.00000    501 2422     131  148     46      6999     532     319     0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
569   VTDecoderXPCServ 0.0  00:01.79 2     1   63     7212K 0B    0B    569  1    sleeping *0[5]     0.00000 0.00000    501 19971    160  1073    520     3957     1485    3665    0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
568   nfcd             0.0  00:00.11 2     1   51     1156K 0B    0B    568  1    sleeping *0[1]     0.00000 0.00000    260 2465     204  168     56      995      379     443     37      0      0.0   0      0      _applepay              N/A    N/A   N/A   N/A   N/A   N/A  
567   AudioComponentRe 0.0  00:00.07 2     1   50     988K  0B    0B    567  1    sleeping *0[1]     0.00000 0.00000    501 2086     128  142     51      1016     322     263     0       0      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
565   AMPDeviceDiscove 0.0  00:00.09 4     2   242    1824K 0B    0B    565  1    sleeping *0[1]     0.00000 0.00000    501 2638     283  1225    597     1459     1478    481     51      8      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
563   automountd       0.0  00:00.02 4     1   27     840K  0B    0B    563  1    sleeping *0[1]     0.00000 0.00000    0   1517     213  114     70      1064     424     256     0       7      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
562   avconferenced    0.0  00:00.18 2     1   64     5184K 0B    0B    562  1    sleeping *0[1]     0.00000 0.00000    501 4530     232  550     237     2045     742     812     75      1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
561   parsecd          0.0  00:00.57 2     1   81     3064K 24K   0B    561  1    sleeping *0[19]    0.00000 0.00000    501 7076     410  718     783     9877     2688    3462    26      103    0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
560   QuickLookUIServi 0.0  00:00.09 3     1   145    2544K 0B    0B    560  1    sleeping  0[30]    0.00000 0.00000    501 4108     284  759     221     2256     1866    989     1       4      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
559   Spotlight        0.0  00:00.65 4     1   201    9044K 24K   0B    559  1    sleeping *0[31]    0.00000 0.00000    501 10126    478  1370    501     7859     3601    4649    112     15     0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
556   Finder           0.0  00:13.37 4     1   609    85M   1076K 0B    556  1    sleeping *0[105]   0.00000 0.00000    501 96982    932  64340   18779   159718   140587  53618   768     424    0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
555   SystemUIServer   0.0  00:00.21 3     1   172    4436K 0B    0B    555  1    sleeping *0[40]    0.00000 0.00000    501 6694     353  2309    992     3130     3239    1726    167     7      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
