  PID   TT  STAT      TIME COMMAND
  472   ??  S      0:00.23 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  473   ??  S      0:00.37 /usr/libexec/dmd
  474   ??  S      0:00.95 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  475   ??  Ss     0:03.99 /System/Library/CoreServices/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -AppleLanguages ("en-US")
  476   ??  Ss     0:01.55 /System/Applications/News.app/Contents/PlugIns/NewsToday2.appex/Contents/MacOS/NewsToday2 -AppleLanguages ("en-US")
  477   ??  S      0:00.08 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  478   ??  Ss     0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  479   ??  S      0:00.04 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  480   ??  Ss     0:00.52 /System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -AppleLanguages ("en-US")
  481   ??  Ss     0:02.61 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -AppleLanguages ("en-US")
  482   ??  Ss     0:01.48 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -AppleLanguages ("en-US")
  483   ??  S      0:01.06 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  484   ??  Ss     0:00.19 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/CarbonComponentScannerXPC.xpc/Contents/MacOS/CarbonComponentScannerXPC
  485   ??  S      0:00.22 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  486   ??  S      0:00.05 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  487   ??  S      0:00.45 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  488   ??  S      0:00.31 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  489   ??  Ss     0:00.08 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
  490   ??  Ss     0:00.14 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  491   ??  S      0:00.17 /usr/libexec/fmfd
  492   ??  S      0:00.12 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  493   ??  S      0:00.78 /usr/libexec/nsurlsessiond
  494   ??  Ss     0:00.06 /usr/sbin/WirelessRadioManagerd
  495   ??  S      0:00.02 /System/Library/CoreServices/APFSUserAgent
  496   ??  S      0:00.02 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  497   ??  S      0:00.49 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  498   ??  S      0:00.96 /System/Library/CoreServices/lockoutagent
  499   ??  Ss     0:00.57 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  500   ??  Ss     0:00.07 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  501   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  502   ??  S      0:00.02 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  503   ??  S      0:00.12 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  504   ??  S      0:00.12 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  506   ??  Ss     0:00.15 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  507   ??  S      0:00.10 /usr/libexec/neagent
  508   ??  Ss     0:00.17 /usr/libexec/rtcreportingd
  509   ??  S      0:00.03 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
  510   ??  S      0:00.21 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  511   ??  S      0:00.10 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  513   ??  S      0:00.02 SafeEjectGPUAgent
  514   ??  S      0:00.12 /usr/libexec/diagnosticextensionsd
  515   ??  S      0:00.03 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
  516   ??  S      0:00.22 /usr/libexec/networkserviceproxy
  517   ??  S      0:00.34 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  518   ??  S      0:00.82 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  520   ??  S      0:00.13 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
  521   ??  S      0:00.17 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  522   ??  Ss     0:00.35 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
  523   ??  S      0:00.99 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  524   ??  Ss     0:00.07 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  525   ??  S      0:00.11 /usr/libexec/siriknowledged
  526   ??  SN     0:01.03 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  527   ??  S      0:01.04 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  528   ??  S      0:00.04 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  529   ??  S      0:00.15 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
  530   ??  S      0:01.44 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
  531   ??  Ss     0:00.02 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  532   ??  Ss     0:00.38 /System/Library/CoreServices/SubmitDiagInfo server-init
  533   ??  S      0:00.06 /usr/libexec/USBAgent
  534   ??  S      0:01.03 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  535   ??  S      0:00.10 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  536   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  556   ??  S      4:23.85 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  558   ??  Ss     0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  581   ??  Ss     0:00.03 /usr/libexec/logd_helper
