Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
hHvn9uDRncQ,2024-12-23T17:33:22.977322+00:00,,This made me laugh - News folk that don't turn into green Aliens end of the 80's - Save humans,2024-12-23T17:34:00.253626+00:00
AR53SP2kuPU,2024-12-23T17:32:24.243238+00:00,,"South Shore, Chicago, USA, North America, Earth - Christmas time - No, I'm not a lesbian",2024-12-23T17:32:24.243238+00:00
WETLnnR3-eo,2024-12-23T20:42:55.859372+00:00,,"HAM radio study guide - Chicago Public Library - Hola, guys!",2024-12-23T20:42:55.859372+00:00
9hWtAga8rwk,2024-12-27T16:50:43.451939+00:00,,"South Shore, Chicago, USA, North America, Earth - On a good day - Rainbow crosswalk",2024-12-27T16:50:43.451939+00:00
jEANNuPfrmI,2025-01-02T20:14:02.626329+00:00,,"South Shore, Chicago, Illinois, USA, North America, Earth - Says F-Trump - V2",2025-01-02T20:14:02.626329+00:00
SFJLu0ZTY84,2025-01-02T20:13:24.207609+00:00,,"South Shore, Chicago, Illinois, USA, North America, Earth - Says F-Trump - V1",2025-01-02T20:13:24.207609+00:00
4HbNzd0pdtE,2025-01-10T20:13:09.663515+00:00,,Drone activity on the Southside of Chicago - Should we be tracking Elon Musk's extended aviation?,2025-01-10T20:13:09.663515+00:00
04caPBxt0uc,2025-01-10T20:14:27.038166+00:00,,"January 6, 2025 @ 09:11AM - Mitel phone on lunch break - Last of democracy - Moments of silence.",2025-01-11T19:30:47.579148+00:00
RMhYTs5GtZs,2025-01-23T21:29:08.285357+00:00,,Trump inauguration - TikTok suspended - Is he trying to cut USA off from outsiders - Genocide,2025-01-23T21:29:08.285357+00:00
W84P_L8fCUk,2025-02-06T21:47:13.993838+00:00,,Busted - Georgia Tech - Falsified email - Sister went to rehab - Mama (me) will F her up for this!!!,2025-02-08T19:20:29.373832+00:00
ppKTORj7nP0,2025-02-08T19:19:26.316574+00:00,,NSA interview - Spotify playlist - I have a dream,2025-02-15T18:12:08.516569+00:00
QypkdNZ5mxs,2025-02-14T19:25:19.392464+00:00,,Valentines' day - I get to do this - MLK/CPL - This is what happens when you send Ivanka T an email,2025-02-14T19:26:05.381067+00:00





