Video ID,Approx Duration (ms),Video Audio Language,Video Category,Video Description (Original),Video Description (Original) Language,Channel ID,Video Title (Original),Video Title (Original) Language,Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
X-OVh61VCGQ,1000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Videos Anthony/X did not want you to see - IMG_0219 (04/2023),en-US,Unlisted,Processed,2024-03-05T22:44:28+00:00,2024-03-05T23:02:59+00:00
YYhd1jFRf4k,1000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Videos Anthony/X did not want you to see - IMG_0203 (04/2023),en-US,Unlisted,Processed,2024-03-05T22:44:34+00:00,2024-03-05T23:02:20+00:00
B5sGnDc0MuY,21000,zxx,People,LINK: https://github.com/maxieds/public-file-stashes/tree/main/ipad-darkweb-analytics-logs/new-year-2024-rhymes-with-hey-lon_contd_v2 (see Settings* prefixed file contents),en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Updated country symbols for firmware v17.4 - See below for links,en-US,Unlisted,Processed,2024-03-07T19:01:56+00:00,2024-03-07T19:02:45+00:00
aoIOR-5ueL8,407000,zxx,People,"Make sure to donate whatever/however/whenever you can to support Off the Hook on NYC/WBAI radio by name! The references are obvious to me. An anti-3%-er (anti-neo-nazi) reference to employers halving the cost to contribute. Links below:

(LINK) https://github.com/maxieds/public-file-stashes/tree/main/ipad-darkweb-analytics-logs/new-year-2024-rhymes-with-hey-lon_contd_v3

(LINK) https://github.com/maxieds/public-file-stashes/tree/main/image-gallery-collections/google-gmail-problems",en-US,UCqSYEc4R7Vp4h233TQECEIw,Off the Hook (NYC/WBAI radio) - 03/06/2024 - Let's get started and annexation of Twitter DM rights,en-US,Unlisted,Processed,2024-03-08T16:29:26+00:00,2024-03-08T16:44:11+00:00
I0fdIz3gG6I,81000,zxx,People,Audio clip from Fall 2023 NPR Politics podcast.,en-US,UCqSYEc4R7Vp4h233TQECEIw,Brandon Pressley - Way to go Brando! - Favorite of Anthony/X and bumper stickers in Casper WY,en-US,Unlisted,Processed,2024-03-08T16:29:45+00:00,2024-03-08T16:36:54+00:00
9THdqwz8l58,15000,zxx,People,"The 2600 Off the Hook radio show guys are complaining about censorship and emails arbitrarily getting classified as spam depending on keywords of which Google may or may not approve or disapprove. Censorship (government) on a state level they say? YES! Checkout the links in the repository below.

LINK: https://github.com/maxieds/public-file-stashes/tree/main/image-gallery-collections/google-gmail-problems",en-US,UCqSYEc4R7Vp4h233TQECEIw,Recent Google censorship problems - Darkweb ipad entry points - See below for relevant links,en-US,Unlisted,Processed,2024-03-08T16:29:49+00:00,2024-03-08T16:35:07+00:00
OarFZg5iBcQ,26000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Chicago apartment living near Anthony/X - Bedroom sheetrock modifications from ceiling - IMG_1544,en-US,Unlisted,Processed,2024-03-14T17:42:30+00:00,2024-03-14T17:47:25+00:00
tNIUgG8WLjo,72000,zxx,People,"Alex about tracing crypto currency transactions through law enforcement. A few weeks ago working through the details of filing a police report for sexual assault, the wording was about deciding to go through a law enforcement route and trying to discouraging the action. The man is a greedy, filthy, illiterate little pig.",en-US,UCqSYEc4R7Vp4h233TQECEIw,Off the Hook - X gotcha on Spotify auto-AI modifications - 01/24/2024,en-US,Unlisted,Processed,2024-03-14T17:42:38+00:00,2024-03-14T17:51:16+00:00
FV11aNTYujg,249000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Off the Hook - Anthony/X stalking references by the guys - Non-acceptable modification of behavior,en-US,Unlisted,Processed,2024-03-14T17:42:49+00:00,2024-03-14T17:54:04+00:00
qOWj-hmamGQ,149000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Off the Hook - Anthony/X stalking references by the guys - Gay furry hackers,en-US,Unlisted,Processed,2024-03-14T17:43:17+00:00,2024-03-14T17:54:45+00:00
q08jQ4RNbIk,393000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Off the Hook - Reproductive rights using apps - Tracking after far right supreme court decisions,en-US,Unlisted,Processed,2024-03-21T20:49:47+00:00,2024-03-21T21:06:02+00:00
SUmaQcosmsU,562000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Fareed Zakaria GPS - Jane Goodall - Trump is a C.H.I.M.P. - Entertaining, light hearted clip",en-US,Unlisted,Processed,2024-03-21T20:57:16+00:00,2024-03-21T21:04:37+00:00
O91Yvq1cGGo,904000,zxx,People,"Speaking of Kolton and monogrammed shirts (kind of like the episode of Criminal Minds where the federal hacker is shot), I'm looking for a clip of the 1980's (possibly early 1990's) with a young man resembling Elon Musk in a red shirt talking with a black market brain scanner purveyor telling him to imagine being with her (hot, short skirted biker's girlfriend at the bar) for the ""right twenty minutes"" (obligatory knee jerk waxing all toxic masculine acting by shifting uncomfortably to express sexual arousal, i.e., the idea gave him a hard on).",en-US,UCqSYEc4R7Vp4h233TQECEIw,Refuse Fascism - Amanda Moore interview - CPAC 2024 neo-nazis - Kolton from pre-UNICEF Florida 2023,en-US,Unlisted,Processed,2024-03-21T20:59:26+00:00,2024-03-21T21:23:58+00:00
KQE1_w0kStc,54000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Chicago living near Anthony/X - Satanists expect me to bathe in their feces - Good kitty gone bad!,en-US,Unlisted,Processed,2024-03-25T20:54:49+00:00,2024-03-25T20:59:42+00:00
ZTdqqSyB5Jw,141000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Darkweb ipad - App types - Forecast: Pancreatic CANCER, a very trendy way to die, Mr. Trump",en-US,Unlisted,Processed,2024-03-25T20:55:07+00:00,2024-03-25T20:57:47+00:00
YX_ZE8pzn-s,75000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Chicago living near Anthony/X - Footprint size differences as evidence of illegal break ins,en-US,Unlisted,Processed,2024-03-30T19:52:07+00:00,2024-03-30T20:12:06+00:00
ROW35rj6zVQ,422000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Darkweb ipad - Spotify hidden settings - Watching Don Lemon's jagged, personal Musk interview",en-US,Unlisted,Processed,2024-03-30T19:52:32+00:00,2024-03-30T20:18:21+00:00
gNftWMNnlBI,61000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - App Store listing oddities II,en-US,Unlisted,Processed,2024-03-30T19:53:42+00:00,2024-03-30T20:14:27+00:00
nZ5LJlV5JPw,290000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Darkweb ipad - App Store listing oddities - Mullvad VPN, no browser",en-US,Unlisted,Processed,2024-03-30T19:54:42+00:00,2024-03-30T20:13:52+00:00
b8Q_4EFd90o,214000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Chicago near Anthony/X - Latest games - Block ipad charger as USB accessory so cannot charge at home,en-US,Unlisted,Processed,2024-03-30T19:56:59+00:00,2024-03-30T20:15:43+00:00
uf3EFXIXtuA,16000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Chicago near Anthony/X - Latest games - Block ipad charger as USB accessory so cannot charge II,en-US,Unlisted,Processed,2024-03-30T19:58:11+00:00,2024-03-30T20:16:20+00:00
HP2w6YS0C2I,58000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Darkweb ipad - Spotify hidden settings - Watching Don Lemon's jagged, personal Musk iview (audio)",en-US,Unlisted,Processed,2024-03-30T20:12:55+00:00,2024-03-30T20:19:56+00:00
d5zJmFAdZ8Y,4000,zxx,People,The Red Line yesterday looked very different. The tracks seem to have new construction this week. Roosevelt looks different. They are also using the older non-Tesla train cars. The driver had his last day before a move to the Green Line talking over like a flight attendant. They have been patrolling with canine units for months at many stops. The 04/03/2024 episode of the 2600 Off the Hook podcast is very unusual this week. These observations are not unrelated.,en-US,UCqSYEc4R7Vp4h233TQECEIw,"Roku TV and Ginger advertisement - CTA Red Line - Chicago, IL, USA, North America, Earth",en-US,Unlisted,Processed,2024-04-05T17:58:17+00:00,2024-04-05T18:03:11+00:00
